id	key	name	POIconv	mass	Cx	Cy	Cz	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Ipoint	sigma_mass	sigma_Cx	sigma_Cy	sigma_Cz	sigma_Ixx	sigma_Iyy	sigma_Izz	sigma_Ixy	sigma_Ixz	sigma_Iyz
C.1.1.1.1	C.00001.00001.00001.00001	Subsystem 1	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.2	C.00001.00001.00001.00002	Subsystem 2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1	C.00001.00001.00002.00001	Subsystem 3	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.2	C.00001.00001.00002.00002	Subsystem 4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3	C.00001.00001.00002.00003	Subsystem 5	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.1	C.00001.00001.00003.00001	Subsystem 6	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.2	C.00001.00001.00003.00002	Subsystem 7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.3	C.00001.00001.00003.00003	Subsystem 8	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4	C.00001.00001.00003.00004	Subsystem 9	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.5	C.00001.00001.00003.00005	Subsystem 10	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.1	C.00001.00001.00004.00001	Subsystem 11	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.2	C.00001.00001.00004.00002	Subsystem 12	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3	C.00001.00001.00004.00003	Subsystem 13	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.4	C.00001.00001.00004.00004	Subsystem 14	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.5	C.00001.00001.00004.00005	Subsystem 15	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1	C.00001.00002.00001.00001	Subsystem 16	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2	C.00001.00002.00001.00002	Subsystem 17	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.3	C.00001.00002.00001.00003	Subsystem 18	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4	C.00001.00002.00001.00004	Subsystem 19	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.1	C.00001.00002.00002.00001	Subsystem 20	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.2	C.00001.00002.00002.00002	Subsystem 21	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.3	C.00001.00002.00002.00003	Subsystem 22	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1	C.00001.00002.00003.00001	Subsystem 23	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2	C.00001.00002.00003.00002	Subsystem 24	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3	C.00001.00002.00003.00003	Subsystem 25	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.4	C.00001.00002.00003.00004	Subsystem 26	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.5	C.00001.00002.00003.00005	Subsystem 27	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.1.1	C.00001.00001.00001.00001.00001	Assembly 1	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.1.2	C.00001.00001.00001.00001.00002	Assembly 2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.1.3	C.00001.00001.00001.00001.00003	Assembly 3	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.2.1	C.00001.00001.00001.00002.00001	Assembly 4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.2.2	C.00001.00001.00001.00002.00002	Assembly 5	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.1.2.3	C.00001.00001.00001.00002.00003	Assembly 6	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1.1	C.00001.00001.00002.00001.00001	Assembly 7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1.2	C.00001.00001.00002.00001.00002	Assembly 8	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1.3	C.00001.00001.00002.00001.00003	Assembly 9	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1.4	C.00001.00001.00002.00001.00004	Assembly 10	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.1.5	C.00001.00001.00002.00001.00005	Assembly 11	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.2.1	C.00001.00001.00002.00002.00001	Assembly 12	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.2.2	C.00001.00001.00002.00002.00002	Assembly 13	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.2.3	C.00001.00001.00002.00002.00003	Assembly 14	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3.1	C.00001.00001.00002.00003.00001	Assembly 15	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3.2	C.00001.00001.00002.00003.00002	Assembly 16	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3.3	C.00001.00001.00002.00003.00003	Assembly 17	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3.4	C.00001.00001.00002.00003.00004	Assembly 18	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.2.3.5	C.00001.00001.00002.00003.00005	Assembly 19	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.1.1	C.00001.00001.00003.00001.00001	Assembly 20	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.1.2	C.00001.00001.00003.00001.00002	Assembly 21	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.1.3	C.00001.00001.00003.00001.00003	Assembly 22	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.1.4	C.00001.00001.00003.00001.00004	Assembly 23	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.2.1	C.00001.00001.00003.00002.00001	Assembly 24	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.2.2	C.00001.00001.00003.00002.00002	Assembly 25	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.2.3	C.00001.00001.00003.00002.00003	Assembly 26	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.2.4	C.00001.00001.00003.00002.00004	Assembly 27	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.3.1	C.00001.00001.00003.00003.00001	Assembly 28	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.3.2	C.00001.00001.00003.00003.00002	Assembly 29	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.3.3	C.00001.00001.00003.00003.00003	Assembly 30	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.3.4	C.00001.00001.00003.00003.00004	Assembly 31	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4.1	C.00001.00001.00003.00004.00001	Assembly 32	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4.2	C.00001.00001.00003.00004.00002	Assembly 33	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4.3	C.00001.00001.00003.00004.00003	Assembly 34	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4.4	C.00001.00001.00003.00004.00004	Assembly 35	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.4.5	C.00001.00001.00003.00004.00005	Assembly 36	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.5.1	C.00001.00001.00003.00005.00001	Assembly 37	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.5.2	C.00001.00001.00003.00005.00002	Assembly 38	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.3.5.3	C.00001.00001.00003.00005.00003	Assembly 39	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.1.1	C.00001.00001.00004.00001.00001	Assembly 40	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.1.2	C.00001.00001.00004.00001.00002	Assembly 41	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.2.1	C.00001.00001.00004.00002.00001	Assembly 42	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.2.2	C.00001.00001.00004.00002.00002	Assembly 43	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.2.3	C.00001.00001.00004.00002.00003	Assembly 44	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3.1	C.00001.00001.00004.00003.00001	Assembly 45	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3.2	C.00001.00001.00004.00003.00002	Assembly 46	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3.3	C.00001.00001.00004.00003.00003	Assembly 47	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3.4	C.00001.00001.00004.00003.00004	Assembly 48	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.3.5	C.00001.00001.00004.00003.00005	Assembly 49	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.4.1	C.00001.00001.00004.00004.00001	Assembly 50	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.4.2	C.00001.00001.00004.00004.00002	Assembly 51	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.4.3	C.00001.00001.00004.00004.00003	Assembly 52	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.4.4	C.00001.00001.00004.00004.00004	Assembly 53	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.5.1	C.00001.00001.00004.00005.00001	Assembly 54	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.5.2	C.00001.00001.00004.00005.00002	Assembly 55	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.5.3	C.00001.00001.00004.00005.00003	Assembly 56	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.1.4.5.4	C.00001.00001.00004.00005.00004	Assembly 57	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1.1	C.00001.00002.00001.00001.00001	Assembly 58	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1.2	C.00001.00002.00001.00001.00002	Assembly 59	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1.3	C.00001.00002.00001.00001.00003	Assembly 60	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1.4	C.00001.00002.00001.00001.00004	Assembly 61	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.1.5	C.00001.00002.00001.00001.00005	Assembly 62	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2.1	C.00001.00002.00001.00002.00001	Assembly 63	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2.2	C.00001.00002.00001.00002.00002	Assembly 64	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2.3	C.00001.00002.00001.00002.00003	Assembly 65	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2.4	C.00001.00002.00001.00002.00004	Assembly 66	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.2.5	C.00001.00002.00001.00002.00005	Assembly 67	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.3.1	C.00001.00002.00001.00003.00001	Assembly 68	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.3.2	C.00001.00002.00001.00003.00002	Assembly 69	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4.1	C.00001.00002.00001.00004.00001	Assembly 70	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4.2	C.00001.00002.00001.00004.00002	Assembly 71	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4.3	C.00001.00002.00001.00004.00003	Assembly 72	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4.4	C.00001.00002.00001.00004.00004	Assembly 73	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.1.4.5	C.00001.00002.00001.00004.00005	Assembly 74	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.1.1	C.00001.00002.00002.00001.00001	Assembly 75	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.1.2	C.00001.00002.00002.00001.00002	Assembly 76	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.2.1	C.00001.00002.00002.00002.00001	Assembly 77	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.2.2	C.00001.00002.00002.00002.00002	Assembly 78	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.2.3	C.00001.00002.00002.00002.00003	Assembly 79	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.2.4	C.00001.00002.00002.00002.00004	Assembly 80	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.3.1	C.00001.00002.00002.00003.00001	Assembly 81	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.2.3.2	C.00001.00002.00002.00003.00002	Assembly 82	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1.1	C.00001.00002.00003.00001.00001	Assembly 83	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1.2	C.00001.00002.00003.00001.00002	Assembly 84	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1.3	C.00001.00002.00003.00001.00003	Assembly 85	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1.4	C.00001.00002.00003.00001.00004	Assembly 86	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.1.5	C.00001.00002.00003.00001.00005	Assembly 87	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2.1	C.00001.00002.00003.00002.00001	Assembly 88	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2.2	C.00001.00002.00003.00002.00002	Assembly 89	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2.3	C.00001.00002.00003.00002.00003	Assembly 90	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2.4	C.00001.00002.00003.00002.00004	Assembly 91	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.2.5	C.00001.00002.00003.00002.00005	Assembly 92	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3.1	C.00001.00002.00003.00003.00001	Assembly 93	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3.2	C.00001.00002.00003.00003.00002	Assembly 94	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3.3	C.00001.00002.00003.00003.00003	Assembly 95	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3.4	C.00001.00002.00003.00003.00004	Assembly 96	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.3.5	C.00001.00002.00003.00003.00005	Assembly 97	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.4.1	C.00001.00002.00003.00004.00001	Assembly 98	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.4.2	C.00001.00002.00003.00004.00002	Assembly 99	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.4.3	C.00001.00002.00003.00004.00003	Assembly 100	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C.1.2.3.5.1	C.00001.00002.00003.00005.00001	Assembly 101	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
