"id"	"parent"	"name"	"POIconv"	"mass"	"Cx"	"Cy"	"Cz"	"Ixx"	"Iyy"	"Izz"	"Ixy"	"Ixz"	"Iyz"	"Ipoint"	"sigma_mass"	"sigma_Cx"	"sigma_Cy"	"sigma_Cz"	"sigma_Ixx"	"sigma_Iyy"	"sigma_Izz"	"sigma_Ixy"	"sigma_Ixz"	"sigma_Iyz"
"C.1.1.1.1"	"C.1.1.1"	"Subsystem 1"	"-"	24.1827584303201	12.7664845070976	-7.33521243876906	4.25063330363471	151242.290612754	151681.439478395	140003.007229201	-9285.98126973321	11631.0816003715	-3665.04870824325	FALSE	2.00377872522265	6.71223764331936	6.83524201771795	7.05080865006599	26174.5823782939	25990.7093429332	24135.2605993766	11648.8802649171	12377.8633308676	12340.520923051
"C.1.1.1.2"	"C.1.1.1"	"Subsystem 2"	"-"	21.0534869896481	-13.278244712436	15.7452897577185	0.49965856589574	163041.130259192	143884.885357074	154262.950249695	14334.2017923855	1519.83286770808	-4317.23007860859	FALSE	1.80618173461854	7.24618585272687	7.63646182821853	7.96772631674887	27902.8386989279	26001.0650978797	24651.8644773092	11579.897800229	12231.335670426	12825.0275336518
"C.1.1.2.1"	"C.1.1.2"	"Subsystem 3"	"-"	32.614045134943	-5.41640526884451	4.35058525414445	-8.74231806433935	255264.689655231	233424.833421624	236512.403954375	-11454.2925733218	-37583.6938770667	-15618.0800463847	FALSE	2.33177059280054	5.9992691865799	6.16873535559674	6.32882242913628	32199.5326825848	31432.4323943996	31009.1709650888	14813.6809221377	14988.3622849736	15574.4247138159
"C.1.1.2.2"	"C.1.1.2"	"Subsystem 4"	"-"	18.4435082934506	5.94463144399493	-2.86799230398103	1.0825770208325	134251.663665595	108878.512046098	127953.741023779	-4491.03996089334	-8773.56250397014	-12660.6957871391	FALSE	1.78287518741315	7.44588977488085	8.41032952383461	7.7442616049041	22518.5893559723	20353.5865203755	21693.129456637	10239.1353538824	9843.48376814182	10856.0874875075
"C.1.1.2.3"	"C.1.1.2"	"Subsystem 5"	"-"	32.854061699698	6.63173790653558	-4.19099753064691	-10.746496172516	211601.360403857	221873.089049087	212043.694406801	16207.5604933788	-1864.14304236315	1819.44905460975	FALSE	2.27732486126177	6.17694152216828	6.03841056141357	6.10611061594035	29257.4817902047	30974.8733199517	31348.665992972	14648.7123233555	14055.6141501707	13533.108444455
"C.1.1.3.1"	"C.1.1.3"	"Subsystem 6"	"-"	18.8096716871578	-11.5693537041329	4.6017221358904	-0.219714635699278	126503.157875308	130821.451897831	139832.797713405	-27330.4732531558	10213.7409094325	-8358.5761496261	FALSE	1.78287518741315	8.30433602455131	8.6335684974958	8.0886258541753	25091.8816625925	23585.298263235	26889.7956328283	12628.4345876506	11017.9778680378	11569.8009620727
"C.1.1.3.2"	"C.1.1.3"	"Subsystem 7"	"-"	21.3095719227504	3.79505157047352	-3.76444319817545	-1.91883342901819	145089.534761721	116755.199265971	132187.502501899	-11581.1115202784	-1088.80580955095	-2664.52223195481	FALSE	2.00377872522265	7.31371617513524	7.94585521390976	7.97380910400273	27411.5266321667	25573.8039865834	23897.3724736549	10772.9485621938	11482.4955250343	11591.5476329245
"C.1.1.3.3"	"C.1.1.3"	"Subsystem 8"	"-"	28.1070670932306	3.87101258117945	2.64280855280396	-8.76071611200178	201630.696656143	204023.207858607	213195.563480536	-18665.5286513238	12743.3929923866	6524.16188542017	FALSE	2.20263806046667	6.67920076034155	6.93086702614295	6.86430580154825	31706.2666324604	29929.1995119946	30508.3455811518	14386.601088249	14177.4240262339	14768.103444815
"C.1.1.3.4"	"C.1.1.3"	"Subsystem 9"	"-"	31.4611066115648	16.1782714710149	8.4079850487582	-3.93749141193082	224389.997650165	198755.691925143	188721.425868985	-13754.6230834669	-3597.50802645028	8522.56743334591	FALSE	2.25888468035551	5.77588490337362	6.14502141604924	6.34201172318158	31692.2268651019	27843.2337548889	28779.5423902606	12981.4055248014	12470.3762936556	13886.4837386363
"C.1.1.3.5"	"C.1.1.3"	"Subsystem 10"	"-"	23.5851541556024	13.1261313737803	-6.10317775825893	3.65987209960019	168849.350057962	152364.811233075	172480.749974969	10479.313699566	-12953.599506381	2207.66127972509	FALSE	1.85191509190403	6.88638447038147	7.33841491647362	6.88779144382258	26751.6754071003	24184.4394831202	26575.9633906319	12727.3719883821	11592.3234004133	13118.2511576802
"C.1.1.4.1"	"C.1.1.4"	"Subsystem 11"	"-"	14.9451207783634	10.195621860103	2.09268187828716	-19.4235426684203	112296.218760806	99628.241112531	119189.4156484	-8967.03371025088	-17431.1985376789	-9165.97296529818	FALSE	1.58412617467307	9.22806439249496	10.1528553572091	9.21252398505034	24044.5797036988	21460.3260008128	24968.4495631058	11597.2696220113	10381.8933088551	11087.4210154941
"C.1.1.4.2"	"C.1.1.4"	"Subsystem 12"	"-"	20.6230943700992	-14.851521278634	16.2922001672647	11.4779120376036	117592.468721121	131659.48386514	128036.986816737	-9033.01978707874	16001.4758018274	16261.7554364832	FALSE	1.80618173461854	7.44076557844457	7.35160535232119	7.37914997820252	21990.1808073672	22585.3103430444	22689.9354152703	10305.4906536849	10307.7335571446	10099.1208904971
"C.1.1.4.3"	"C.1.1.4"	"Subsystem 13"	"-"	27.1238765764176	-2.37675536759992	2.44839216900147	-6.11467993592063	148774.140631208	138236.82791642	178429.754991866	-10292.2877696905	-4473.09437297444	-3840.00190867498	FALSE	2.18356724211557	6.58319304506149	6.69978018134556	6.37126451402271	25494.6293292794	24393.3283303798	27190.4885289756	12977.0996377066	11434.7628316862	11592.9985881608
"C.1.1.4.4"	"C.1.1.4"	"Subsystem 14"	"-"	27.5124860196796	12.0096670045282	3.91406746883376	10.350073548283	171140.858587677	189129.265259758	181772.947242659	2690.6911164965	-4928.29623742234	21945.7664689141	FALSE	2.12532828690341	6.89346882740591	6.55378829480442	6.74434654914451	27563.9228543181	30129.4070152304	29502.9115482184	13082.2445987224	13298.3573102669	13067.5581374075
"C.1.1.4.5"	"C.1.1.4"	"Subsystem 15"	"-"	29.7628066476493	-1.56538900294168	-0.0477830648669657	0.193278229129337	216801.699143461	193574.314081658	211705.405840072	-17153.4022595942	625.542397352405	-18281.9838649862	FALSE	2.08559902137479	6.12831577348984	6.63150170336799	6.59851584776245	32320.028504059	28887.6658523858	31192.7800708754	14730.3235973025	13427.0463586575	14963.0408590098
"C.1.2.1.1"	"C.1.2.1"	"Subsystem 16"	"-"	22.161742162284	17.0733844694972	-8.78939395395855	-3.15796254577722	135100.031961754	143906.095949314	144737.896666725	11700.687810491	14145.752254766	5.30351836989303	FALSE	1.98279617083521	7.52149517643293	7.34968047981893	7.67487127969833	24440.4728982298	25660.6219727362	24771.1285052745	11581.8736943187	11775.4925663249	11005.4176593535
"C.1.2.1.2"	"C.1.2.1"	"Subsystem 17"	"-"	29.5423938467773	-4.03202498174744	-10.6351330833579	-1.60347097898702	178572.190216956	175405.602859607	195466.280591592	-22254.1050182714	6406.17927553671	-9853.10089225709	FALSE	2.16432838919238	6.31696074112838	6.32089904822312	6.22335564072694	27305.6031931258	30154.8038762407	31098.866563983	14395.2503196966	14118.4712892782	12714.0465262416
"C.1.2.1.3"	"C.1.2.1"	"Subsystem 18"	"-"	19.5154855631189	-12.2676108483064	-10.1429712376395	-5.79690118851004	96462.7418200831	96314.6030727312	119650.333724106	8648.8991649171	3211.03296996463	3122.74823541253	FALSE	1.71105182860282	7.85095717114578	7.43887580395507	7.86463832449247	21251.3038771656	22575.7902033839	21748.9379182778	10248.0308887224	10693.686475243	8620.81845499746
"C.1.2.1.4"	"C.1.2.1"	"Subsystem 19"	"-"	25.9089503451223	7.57322386166162	11.6029986338295	-1.12102005411882	156476.576808826	167898.906458687	178778.095643842	-2639.82691692906	-6387.78305442022	-22770.9529063191	FALSE	1.96158918494741	6.7334331047514	6.72667269444589	6.5346972770742	25180.931703749	25676.9194948646	26189.1112463493	12652.7060317845	12249.381669955	11973.5020789252
"C.1.2.2.1"	"C.1.2.2"	"Subsystem 20"	"-"	12.2561247495885	-25.7562192337221	-0.824043594629511	-10.6351375464037	87544.8073850559	61464.8712126481	67216.863784577	10928.2339729024	-9715.00644037948	15205.3372786371	FALSE	1.41688552460227	8.82212872718726	10.2935798255274	9.6856657739437	18663.6008456877	15193.2760448708	16940.2447239751	7747.88322666128	7035.36585442799	8892.59488643608
"C.1.2.2.2"	"C.1.2.2"	"Subsystem 21"	"-"	24.4467074862055	-17.8654250832255	-8.502678657259	-8.58179651520894	153686.229995657	155943.842536973	138841.509462469	-9668.02834751517	10857.7609663758	-16077.6859636475	FALSE	2.22154517172001	7.21394469761201	7.09545106201515	7.56169250713857	27423.2260591856	30079.6603279328	25397.1422660735	10968.5436794025	14186.8021623093	12136.0276557979
"C.1.2.2.3"	"C.1.2.2"	"Subsystem 22"	"-"	9.30971435309062	-37.4443672682464	-6.92516492223097	14.9983160300981	56514.5487065425	57897.9334477266	64554.3534706857	1994.62562039108	2091.31008477506	-5237.53139100455	FALSE	1.29343360537868	12.4594268301692	12.1926701093219	11.314738187504	15462.2525923388	16824.5285059316	18590.6160547616	8961.09063940504	8126.01173191185	7598.57899711447
"C.1.2.3.1"	"C.1.2.3"	"Subsystem 23"	"-"	26.125954121839	2.36144524105729	7.99620978997108	7.62615168618198	155060.549896364	172731.489359635	188449.965592821	-1180.98832590301	17992.7923991966	6516.43617546473	FALSE	2.18356724211558	7.34015394852516	6.97132725801459	6.74102210742217	28157.2623010505	31224.0314185331	30289.9362478386	13203.6300585885	13501.3514003216	12962.6160505339
"C.1.2.3.2"	"C.1.2.3"	"Subsystem 24"	"-"	23.3829052960798	18.2483930303304	-4.68014506183036	-4.61509828769966	127797.971597442	130060.540573923	141189.755991966	6231.14099236619	13234.7825555199	-8520.72996240667	FALSE	2.00377872522265	7.13960301863429	7.17013956576363	6.7661736829219	23640.4889104681	23908.8058378682	24132.2763245103	11362.9953459552	11351.6082516595	11012.8805171598
"C.1.2.3.3"	"C.1.2.3"	"Subsystem 25"	"-"	35.4504025518682	-3.51735337008212	6.67001105653984	0.358798569479314	236295.354712751	218763.167187945	244473.952547997	29748.1021771666	-4158.05389242568	9962.01205640983	FALSE	2.48796921577311	5.83282343354277	6.35541396927329	5.92807957386679	34261.5114312648	30727.8891293943	33968.9691501079	15492.8207597648	14389.8494298297	15528.9893625539
"C.1.2.3.4"	"C.1.2.3"	"Subsystem 26"	"-"	17.6722501646807	-15.1876417050577	6.45654603492478	25.1766073276358	133656.235772331	110567.390770016	129817.974258635	14334.3947231386	-12586.7634995524	11234.043727891	FALSE	1.73532327960562	8.48564972785461	8.5435180124694	8.82396635256734	24680.7995004184	24496.82814455	23317.0813082834	10934.0290339664	11144.1410884034	11452.8824253838
"C.1.2.3.5"	"C.1.2.3"	"Subsystem 27"	"-"	17.4997445275516	-2.03142071936586	14.8889481908696	14.4091661722222	102298.615848101	95136.553658161	111067.089261766	6838.23322753953	-11576.7357063685	9468.42763043454	FALSE	1.71105182860282	7.81355735201804	8.05725815685384	7.79933688593335	19305.8417531769	19410.7107572498	20455.5560560962	9835.92094037721	9331.51250769986	9153.4040853191
